ábyggilega	ábyggilegur
ágæti	ágætur
ágætlega	ágætlegur
ákafi	ákafur
ákaflega	ákaflegur
ákaft	ákafur
ákveðni	ákveðinn
árangurslaust	árangurslaus
ásýnd	ásýndur
áttugasti	át-tugur
æfa	æfur
æta	ætur
æti	ætur
ætt	ætur
ítarlega	ítarlegur
ítrekað	ítrekaður
ógilda	ógildur
ógjarnan	ógjarn
ógæfa	ógæfur
óhlýðnast	óhlýðinn
óhlýðni	óhlýðinn
óhóflega	óhóflegur
ójafna	ójafn
ólöglega	ólöglegur
óreglulega	óreglulegur
óreiða	óreiður
óráð	óráður
óró	órór
óslitið	óslitinn
ósvífni	ósvífinn
ótryggð	ótryggður
ótt	óður
óumdeilanlega	óumdeilanlegur
óvart	óvar
óvænlega	óvænlegur
óvænt	óvænn
óþekktast	óþekktur
úldna	úldinn
úreldast	úreldur
úrþvætti	úrþvættur
úthverfi	úthverfur
ýtrastur	ýtrari
þagmælska	þagmælskur
þiðna	þiðinn
þorna	þorinn
þrakverska	þrakverskur
þrefalda	þrefaldur
þrenna	þrennur
þrjóska	þrjóskur
þrá	þrár
þráfaldlega	þráfaldlegur
þrái	þrár
þrátt	þrár
þröng	þröngur
þrýsta	þrýstur
þunga	þungur
þunglyndi	þunglyndur
þurrlendi	þurrlendur
þvera	þver
þverra	þver
þykkna	þykkinn
þykkt	þykkur
þyngd	þyngdur
þyrsta	þyrstur
þægilega	þægilegur
þétt	þéttur
þétta	þéttur
þíða	þíður
þörf	þarfur
þýlyndi	þýlyndur
þýða	þýður
